1::Power Skip::Physical|Mental
2::Stair Climb::Physical|Mental
3::High knees::Mental|Heart
4::Inchworm::Heart|Aerobic
5::Alternate-Leg Bounding::Aerobic
6::Butt Kick::Anaerobic|Mental|Emotional
7::Jumping Jack::Heart|Mental
8::Foot Fire::Heart|Aerobic
9::Mountain Climber::Yoga
10::Plank to Push-up::Meitation|Yoga|Physical
11::Tuck Jump::Meditation
12::Basic Burpee::Yoga|Meditation
13::Push-up Burpee::Physical|Mental
14::Plyometric Push-up::Mental
15::Diver’s Push-up::Aerobic|Mental
16::Long Jump::Heart|Mental
17::Single-Leg Burpee::Heart|Yoga
18::Vertical Jump::Yoga
19::Invisible Jump Rope::Mental
20::Squat Jump::Heart
21::Single-Leg Box Jump::Heart|Physical
22::Box Jump::Heart|Anaerobic
23::Step-up::Anaerobic
24::Single-Leg Hop::Aerobic
25::Frog Jump::Heart|Meditation
26::Skater’s Lunge::Yoga
27::Lateral Stepover::Physical
28::Lunge Jump::Heart
29::Jumping Jack Planks::Breathing
30::Power Punch::Mental
31::Flutter Kick::Physical
32::Bicycle::Physical|Heart
33::Sprinter Sit-up::Mental|Heart
34::Tabata Crunch::Heart
